lounge_code,campus,building,lounge_name,lounge_floor,infrastructure,default_type,default_table,usage_time,change_p,default_populous,p_adjusted,default_noise,noise level,alone,two,threefour,fiveormore,white_noise,bright,dark,individual,multi,eat,partition,high_table,low_table,hard_chair,sofa,lie,charge,printer,water,book_dispenser,cafe,copier,convenience,bank,shower,distance,open,close,mon,tue,wed,thu,fri,sat,sun
10001,인문 캠퍼스,LG-POSCO 경영관,이명박 라운지,2F,"프린터, 복사기",오픈형,"4인 테이블, 1인 소파형 의자 및 테이블",50,0.933032992,0.8,0.943078043,50,2,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,8:30,22:30,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10002,인문 캠퍼스,LG-POSCO 경영관,박현주 라운지,4F,정수기,룸형,"2인 테이블, 벽면 소파와 1인 의자 및 테이블",90,0.962223837,0.6,0.964112645,30,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,8:30,22:30,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10003,인문 캠퍼스,LG-POSCO 경영관,SUPEX홀 옆 라운지,4F,정수기,오픈형,"4인 테이블, 1인 소파형 의자 및 테이블",35,0.905723664,0.4,0.901009847,40,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,8:30,22:30,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10004,인문 캠퍼스,현대자동차경영관,B3 라운지,B3,,오픈형,"4인 사각 테이블, 1인 소파형 의자 및 테이블",45,0.925874712,0.6,0.929580977,45,2,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,37,8:30,22:30,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10005,인문 캠퍼스,현대자동차경영관,B1 라운지,B1,"편의점, 카페",오픈형,"4인 테이블, 1인 소파형 의자 및 테이블, 다인용 소파형 의자 및 테이블",70,0.951695153,0.6,0.954110395,45,2,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,37,8:30,22:30,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10006,인문 캠퍼스,현대자동차경영관,계단 라운지,1F,,계단형,계단형,20,0.840896415,0.5,0.840896415,60,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,37,8:30,22:30,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10007,인문 캠퍼스,현대자동차경영관,2층 라운지,2F,,오픈형,4인 테이블,60,0.943874313,0.5,0.943874313,40,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,37,8:30,22:30,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10008,인문 캠퍼스,현대자동차경영관,MBA 라운지,4F,정수기,오픈형,"4인 사각 테이블, 1인 소파형 의자 및 테이블",65,0.948077514,0.5,0.948077514,40,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,37,8:30,22:30,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10009,인문 캠퍼스,현대자동차경영관,장치평 라운지,4F,정수기,오픈형,"4인 사각 테이블, 1인 소파형 의자 및 테이블",45,0.925874712,0.5,0.925874712,40,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,37,8:30,22:30,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10010,인문 캠퍼스,운초우선교육관,라운지 1-1,1F,"편의점, 카페, 도서반납기, 정수기",오픈형,4인 사각 테이블,60,0.943874313,0.5,0.943874313,40,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,258,8:30,22:30,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
